Model,Wrapper,RMSSE_total
gns,baseline,1.0097661008405212
lgbm,direct,0.7280195264062397
lgbm,mimo,0.7276963767780142
nhits,native,0.6943174312604847
tft,native,0.6548353180018117
xgb,direct,0.7259763229651103
xgb,mimo,0.7259763229651103
